,listing_id,pos,neu,neg,compound,name,latitude,longitude,review_scores_rating,neighbourhood_cleansed,distance_airport,distance_tophub,distance_prudential,distance_royale,distance_harvard
2868,21039322,0.4163733159523809,0.5634831466190475,0.020136734714285714,0.5471710975238094,Single room,42.36090045039465,-71.12980059373362,95.0,Allston,6.161281785090061,2.553373057497993,2.600207410860419,3.375107222834003,1.4206192468769403
3208,22192478,0.4162789173846153,0.561443304846154,0.01586752135897436,0.4732131624102564,Rm2: Near Subway/Downtown/Medical Centers/Colleges,42.32540585870604,-71.10568269812319,96.0,Jamaica Plain,5.6479198337220495,1.836582454422279,1.9126383111830079,2.661792139663738,4.1562116154025786
4682,29852455,0.41619687499999997,0.57728333325,0.006547916625,0.543236770875,"Comfy Boston Studio, Private Entrance & Parking",42.26438321005823,-71.11995209202236,98.0,Hyde Park,8.986759343732938,5.963046121792346,6.025573283641565,6.528576492971351,8.061696979553451
3259,22373720,0.4161875,0.55995833325,0.02385416675,0.32864375,Newly Built Boston 2-BR - Mission Hill.,42.33094594296622,-71.11101400268619,80.0,Mission Hill,5.716772943754017,1.7577769876735962,1.8382203252483071,2.670834807488041,3.696659121221696
4636,29651584,0.416111111,0.5634444445,0.020444444500000002,0.6060277778333334,(41-22) Cozy Beacon Hill Studio,42.36047695835247,-71.06742690586266,97.0,Beacon Hill,2.9810560284778416,1.2788537022428692,1.2016282669531384,0.734930508712552,3.909609616720981
1756,14983707,0.4159631578947369,0.5664929824210527,0.0,0.5328177192631578,Spacious Beacon Hill Two Bedroom,42.357805525371475,-71.07052789200917,93.0,Beacon Hill,3.1648689422600715,1.035554750302058,0.9583459162259398,0.6008521679547149,3.8324537391132685
2406,18957205,0.4158871211818182,0.5805371211818181,0.0035757575454545454,0.4734793181818182,Amazing Location! 1 Bdrm/Queen Bed in Beacon Hill,42.35987892597669,-71.06523161373536,96.0,Beacon Hill,2.8749007257290047,1.3263663903321878,1.247370516764798,0.6875857967423273,4.029324739905981
2031,16532241,0.415729166625,0.575645833375,0.008625,0.581274375,Penthouse Styled Condo / Boston Dor. Redline Train,42.29020632666686,-71.06027059787155,100.0,Dorchester,5.815005169771306,4.069934001641252,4.091754637712217,4.130415581314979,7.411777761165296
2639,19947454,0.4156,0.5844,0.0,0.5725,Modernly Plush 2-BR Apt in Boston + Pool & Gym,42.36399854381265,-71.06533465424442,60.0,West End,2.8549740974784292,1.534449459913409,1.4585394099659175,0.9717959988352397,3.93356970665673
4708,30010969,0.4155,0.5845,0.0,0.4653,Private Room on Newbury Street Son,42.347569779483386,-71.08544704705551,100.0,Back Bay,4.07737230263852,0.1094370253685287,0.15283330047703034,1.0312406256931321,3.552147092650228
1144,9922595,0.41549696966666666,0.5632909090000001,0.021212121333333334,0.43551575766666667,Downtown Boston 1-BR Apt. Near Boston Commons!,42.35107229312267,-71.06305596090544,73.0,Downtown,2.914408519792694,1.1101103964026955,1.0326807339106014,0.15069360003703539,4.379014388083403
2831,20903558,0.41540952382142865,0.5817445578214286,0.002834013607142857,0.5638139796071429,Sunny room and private bathroom- Brighton center,42.34414911928394,-71.15467752915944,94.0,Brighton,7.573243252198319,3.630174038017402,3.700452919646483,4.580410505965084,2.6233288987995547
3664,24209126,0.41517353996226425,0.5760746181886793,0.008750718773584906,0.5746845417735851,"Luxe penthouse, roofdeck, beach, and Aussie puppy!",42.33306409427434,-71.02877486192439,96.0,South Boston,2.4509010424321014,2.9691003218866423,2.9185024804891184,2.2137435225410336,6.516490468985724
3559,23632539,0.415115,0.582845,0.00204,0.5837501666,Chill & Cozy Apt Dwntwn/TheatreDst/Chnatwn/BckBay,42.35322641774873,-71.06353474674503,96.0,Downtown,2.8900151247110126,1.1385676034996235,1.0587257860676378,0.2505808269606721,4.290346108402835
3577,23731003,0.41493434345454544,0.5835282828181818,0.0015373737272727271,0.5425119191818182,"Big, bright 2-bedroom in Historic Bay Village",42.349437423814905,-71.07007605346317,96.0,Bay Village,3.2907451905833103,0.7334824726882103,0.656410119858163,0.2338036554635046,4.120824887610846
38,38579,0.4146454546,0.5853545453999999,0.0,0.5941877272,[1218-2NH]2BR Apartment in Boston,42.364174844900226,-71.06320412284416,92.0,Downtown,2.745539013216817,1.61329221941731,1.5360937517147935,0.9912376854649779,4.034775237015966
2499,19308245,0.41463257144,0.55345238096,0.03190838096,0.51335737144,Quaint Cute Historic Charles|Studio #9,42.359092773897295,-71.07115814916206,87.0,Beacon Hill,3.1828863696784304,1.084320860997734,1.0092163763081456,0.6950528805441017,3.7675138161789636
1404,12949270,0.4145216451666667,0.57324413775,0.012234217166666667,0.5575814483333333,"Elegant room, colorful artist home",42.321364951420186,-71.11323105918619,97.0,Jamaica Plain,6.121947682617067,2.2972845044111727,2.374772244572319,3.137686230085687,4.277706672880971
3733,24554124,0.4143238094,0.5545261906,0.0311,0.5561785714,Boston Oasis Rm 2,42.307501760909034,-71.07219433309874,100.0,Dorchester,5.133709241639108,2.758204512699072,2.7867255893113305,2.9474532531548916,6.079175297915805
3454,23306611,0.41425,0.58575,0.0,0.414775,Modern and Plush 2-BR Apt. Near Chinatown,42.35251242575815,-71.05978109907579,100.0,Chinatown,2.723005257196312,1.2999374543156004,1.2216584194966154,0.3455878722028276,4.484932201798369
3260,22373897,0.4139722221666666,0.5629444445,0.023111111166666667,0.4894861111666666,New 2-BR in Boston + Rooftop Deck Near Fenway Park,42.33015100252959,-71.11233640724177,93.0,Mission Hill,5.801294779506498,1.8449172906040174,1.9253521841089094,2.7568062666528013,3.7219825242413633
895,7728508,0.4137184282073172,0.5713601964512195,0.007465752036585365,0.5001592073292683,Sunny Studio in Back Bay by Sonder,42.34890483089698,-71.08126551577544,93.0,Back Bay,3.845426342267926,0.21141417673305504,0.13747729502483108,0.807349679335262,3.6644191793119782
1154,10034614,0.413625,0.586375,0.0,0.5444916664999999,Upscale Boston 2 Bedroom Apartment & Yoga Studio,42.351341904003895,-71.0604915822739,80.0,Chinatown,2.7848792348246976,1.2414454919766207,1.1643671559803974,0.2772380470432057,4.487558054191942
4313,28157015,0.4136137806666667,0.5551890692424243,0.02740422075757576,0.5338457648181818,Charming Beacon Hill/Downtown Boston Apartment,42.358361407903146,-71.06965389343394,95.0,Beacon Hill,3.114392345936035,1.0939262773886314,1.0165159291750288,0.6192614672796626,3.858132300304132
3724,24518149,0.4136116402222222,0.585310582,0.0010666666666666665,0.4888298677777778,Boston Commons Condos 2BD 2,42.35263062396597,-71.06350918236326,82.0,Downtown,2.9012011255336443,1.1236852102927317,1.044323725699272,0.21444061449470053,4.3096231860070136
2836,20928111,0.41354980276923076,0.537473865846154,0.010520710076923076,0.5250148520769231,"JP Living / Close to Train, Room 2",42.316083411656216,-71.10864598803911,94.0,Jamaica Plain,6.115792384467193,2.45453484670119,2.5271146824420745,3.2130936480382077,4.698166132974939
3961,26112347,0.4135,0.5513125000000001,0.0351875,0.3681625,Oak sq 2nd floor Room Airport! BC Food! 7/11 YMCA,42.348735186952425,-71.1643462969677,95.0,Brighton,8.006866749325356,4.124249981687082,4.191023182440143,5.058580663597218,2.5380927236947772
2480,19220895,0.41332344721739134,0.5657626811594205,0.00944044168115942,0.5171009851594203,South End SOWA 2brm w/ gorgeous patio!,42.33925223381852,-71.06477031761099,99.0,South End,3.359318998162309,1.0980871874372085,1.0594542342994278,0.7374076281139327,4.739680632321497
4124,27197821,0.41281749999999995,0.5824725,0.0047350000000000005,0.5228229524,Cozy Room 2,42.308920896634994,-71.07934651598335,99.0,Dorchester,5.297247225338217,2.6051085256414677,2.6431501699346946,2.9166344432206097,5.797492532513064
