,host_response_time,host_response_rate,host_is_superhost,host_verification_level,neighbourhood_cleansed,host_identity_verified,is_location_exact,instant_bookable,property_type,room_type,bed_type,Wifi,Heating,Essentials,Smoke detector,Kitchen,Carbon monoxide detector,Hangers,Air conditioning,Shampoo,Hair dryer,price,security_deposit,cleaning_fee,extra_people,number_of_reviews,review_scores_rating,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,cancellation_policy,reviews_per_month
53,4.0,33.0,0,6.0,Back Bay,1,1,0,Apartment,Entire home/apt,Real Bed,True,True,True,True,True,True,True,True,False,True,399.0,0.0,150.0,0.0,10.0,88.0,9.0,9.0,8.0,10.0,super_strict_30,0.11
54,2.0,100.0,1,5.0,Dorchester,0,1,0,Other,Entire home/apt,Real Bed,True,True,True,True,True,True,True,True,False,True,105.0,0.0,0.0,0.0,42.0,94.0,9.0,10.0,10.0,10.0,moderate,0.44
55,2.0,100.0,1,4.0,Roxbury,1,1,0,House,Private room,Real Bed,True,True,True,True,True,False,True,True,False,True,75.0,0.0,0.0,30.0,131.0,95.0,9.0,10.0,10.0,8.0,strict_14_with_grace_period,1.33
56,3.0,93.0,0,8.0,Downtown,0,1,0,Apartment,Entire home/apt,Real Bed,False,True,True,False,True,False,False,True,False,False,175.0,1000.0,250.0,0.0,18.0,97.0,9.0,10.0,10.0,10.0,strict_14_with_grace_period,0.28
57,1.0,97.0,0,7.0,Mission Hill,1,1,1,Apartment,Entire home/apt,Real Bed,True,True,True,True,True,True,True,True,True,False,79.0,0.0,0.0,0.0,626.0,80.0,9.0,9.0,9.0,9.0,moderate,6.37
58,3.0,93.0,0,8.0,Beacon Hill,0,1,0,Condominium,Entire home/apt,Real Bed,True,True,True,True,False,True,False,True,False,True,110.0,1000.0,250.0,0.0,43.0,96.0,9.0,10.0,10.0,10.0,strict_14_with_grace_period,0.57
59,4.0,33.0,0,6.0,Fenway,1,1,0,Apartment,Private room,Real Bed,True,True,False,False,True,False,False,True,False,False,249.0,0.0,150.0,0.0,1.0,100.0,10.0,10.0,6.0,8.0,super_strict_30,0.01
60,4.0,33.0,0,6.0,Back Bay,1,1,0,Serviced apartment,Entire home/apt,Real Bed,True,True,True,True,False,True,True,True,True,True,359.0,0.0,0.0,0.0,9.0,87.0,9.0,9.0,10.0,10.0,super_strict_30,0.12
61,2.0,100.0,1,4.0,Roxbury,1,1,0,House,Private room,Real Bed,True,True,True,True,True,True,True,True,True,True,85.0,0.0,0.0,30.0,105.0,95.0,9.0,10.0,10.0,8.0,strict_14_with_grace_period,1.12
62,3.0,100.0,0,3.0,Charlestown,0,1,0,Bed and breakfast,Private room,Real Bed,False,True,True,False,True,False,False,True,False,False,140.0,0.0,0.0,0.0,37.0,86.0,9.0,9.0,9.0,9.0,strict_14_with_grace_period,0.41
63,1.0,100.0,0,6.0,Dorchester,1,1,1,House,Private room,Real Bed,True,True,True,True,True,True,True,True,True,True,65.0,100.0,25.0,15.0,277.0,88.0,9.0,10.0,9.0,9.0,moderate,2.87
